"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1144","Crear repositorio y agregar colaboradores","chromium","Fri Oct 24 03:34:55 UTC 2025","passed","Fri Oct 24 03:34:56 UTC 2025","GitHub API Tests add Repo, add Colaborars, remove Repo","github_2_api.spec.ts","",""
"","1290","Create Repository & add colaborators","chromium","Fri Oct 24 03:34:53 UTC 2025","passed","Fri Oct 24 03:34:55 UTC 2025","GitHub API Tests","github_1_api.spec.ts","",""
